09:22:47 HHC02292I Inst '94'   count        59554 ( 0%) time         1613 (  0.027085) NI    0(0),0                 and_immediate
09:22:47 HHC02292I Inst '96'   count        56617 ( 0%) time         3365 (  0.059434) OI    0(0),0                 or_immediate
09:22:47 HHC02292I Inst '95'   count        55565 ( 0%) time         1785 (  0.032125) CLI   0(0),0                 compare_logical_immediate
09:22:47 HHC02292I Inst '43'   count        54717 ( 0%) time         1503 (  0.027469) IC    0,0(0,0)               insert_character
09:22:47 HHC02292I Inst '98'   count        45230 ( 0%) time         1102 (  0.024364) LM    0,0,0(0)               load_multiple
09:22:47 HHC02292I Inst '1B'   count        43155 ( 0%) time         1792 (  0.041525) SR    0,0                    subtract_register
09:22:47 HHC02292I Inst '40'   count        42784 ( 0%) time         1690 (  0.039501) STH   0,0(0,0)               store_halfword
09:22:47 HHC02292I Inst '92'   count        40082 ( 0%) time         1583 (  0.039494) MVI   0(0),0                 move_immediate
09:22:47 HHC02292I Inst '15'   count        38889 ( 0%) time         1347 (  0.034637) CLR   0,0                    compare_logical_register
09:22:47 HHC02292I Inst 'D2'   count        36161 ( 0%) time         2860 (  0.079091) MVC   0(1,0),0(0)            move_character
09:22:47 HHC02292I Inst '45'   count        35194 ( 0%) time         1224 (  0.034779) BAL   0,0(0,0)               branch_and_link
09:22:47 HHC02292I Inst 'D5'   count        34733 ( 0%) time          977 (  0.028129) CLC   0(1,0),0(0)            compare_logical_character
09:22:47 HHC02292I Inst '90'   count        32726 ( 0%) time         1471 (  0.044949) STM   0,0,0(0)               store_multiple
09:22:47 HHC02292I Inst '55'   count        30466 ( 0%) time          920 (  0.030198) CL    0,0(0,0)               compare_logical
09:22:47 HHC02292I Inst '1E'   count        28845 ( 0%) time         1050 (  0.036401) ALR   0,0                    add_logical_register
09:22:47 HHC02292I Inst 'BA'   count        26222 ( 0%) time         1549 (  0.059073) CS    0,0,0(0)               compare_and_swap
09:22:47 HHC02292I Inst '56'   count        24554 ( 0%) time         1246 (  0.050745) O     0,0(0,0)               or
09:22:47 HHC02292I Inst 'BF'   count        24284 ( 0%) time          798 (  0.032861) ICM   0,0,0(0)               insert_characters_under_mask
09:22:47 HHC02292I Inst '5F'   count        24076 ( 0%) time          702 (  0.029158) SL    0,0(0,0)               subtract_logical
09:22:47 HHC02292I Inst '8B'   count        22803 ( 0%) time         1044 (  0.045783) SLA   0,0(0)                 shift_left_single
09:22:47 HHC02292I Inst '49'   count        20934 ( 0%) time          618 (  0.029521) CH    0,0(0,0)               compare_halfword
09:22:47 HHC02292I Inst 'B213' count        19984 ( 0%) time          403 (  0.020166) RRB   0(0)                   reset_reference_bit
09:22:47 HHC02292I Inst '42'   count        19821 ( 0%) time          695 (  0.035064) STC   0,0(0,0)               store_character
09:22:47 HHC02292I Inst 'D7'   count        17935 ( 0%) time          555 (  0.030945) XC    0(1,0),0(0)            exclusive_or_character
09:22:47 HHC02292I Inst '14'   count        17702 ( 0%) time          902 (  0.050955) NR    0,0                    and_register
09:22:47 HHC02292I Inst '4A'   count        16153 ( 0%) time          362 (  0.022411) AH    0,0(0,0)               add_halfword
09:22:47 HHC02292I Inst '89'   count        14085 ( 0%) time          347 (  0.024636) SLL   0,0(0)                 shift_left_single_logical
09:22:47 HHC02292I Inst '88'   count        11872 ( 0%) time          430 (  0.036220) SRL   0,0(0)                 shift_right_single_logical
09:22:47 HHC02292I Inst '46'   count        11491 ( 0%) time          241 (  0.020973) BCT   0,0(0,0)               branch_on_count
09:22:47 HHC02292I Inst 'AC'   count         9770 ( 0%) time           62 (  0.006346) STNSM 0(0),0                 store_then_and_system_mask
09:22:47 HHC02292I Inst '5A'   count         9613 ( 0%) time          270 (  0.028087) A     0,0(0,0)               add
09:22:47 HHC02292I Inst 'BE'   count         8490 ( 0%) time          283 (  0.033333) STCM  0,0,0(0)               store_characters_under_mask
09:22:47 HHC02292I Inst '1A'   count         8342 ( 0%) time          336 (  0.040278) AR    0,0                    add_register
