09:19:10 HHC02292I Inst '4A'   count       589597 ( 0%) time         5841 (  0.009907) AH    0,0(0,0)               add_halfword
09:19:10 HHC02292I Inst '42'   count       500395 ( 0%) time         5186 (  0.010364) STC   0,0(0,0)               store_character
09:19:10 HHC02292I Inst '1E'   count       500269 ( 0%) time         4984 (  0.009963) ALR   0,0                    add_logical_register
09:19:10 HHC02292I Inst '19'   count       498694 ( 0%) time         4893 (  0.009812) CR    0,0                    compare_register
09:19:10 HHC02292I Inst '49'   count       454535 ( 0%) time         4152 (  0.009135) CH    0,0(0,0)               compare_halfword
09:19:10 HHC02292I Inst '5E'   count       436431 ( 0%) time         4567 (  0.010464) AL    0,0(0,0)               add_logical
09:19:10 HHC02292I Inst '54'   count       399246 ( 0%) time         4133 (  0.010352) N     0,0(0,0)               and
09:19:10 HHC02292I Inst 'D7'   count       394324 ( 0%) time         3861 (  0.009791) XC    0(1,0),0(0)            exclusive_or_character
09:19:10 HHC02292I Inst '55'   count       380234 ( 0%) time         3645 (  0.009586) CL    0,0(0,0)               compare_logical
09:19:10 HHC02292I Inst '46'   count       341053 ( 0%) time         3096 (  0.009078) BCT   0,0(0,0)               branch_on_count
09:19:10 HHC02292I Inst '8B'   count       298157 ( 0%) time         2837 (  0.009515) SLA   0,0(0)                 shift_left_single
09:19:10 HHC02292I Inst '88'   count       277476 ( 0%) time         2415 (  0.008703) SRL   0,0(0)                 shift_right_single_logical
09:19:10 HHC02292I Inst '89'   count       236926 ( 0%) time         2288 (  0.009657) SLL   0,0(0)                 shift_left_single_logical
09:19:10 HHC02292I Inst '15'   count       228805 ( 0%) time         2180 (  0.009528) CLR   0,0                    compare_logical_register
09:19:10 HHC02292I Inst 'BF'   count       225648 ( 0%) time         2066 (  0.009156) ICM   0,0,0(0)               insert_characters_under_mask
09:19:10 HHC02292I Inst '8A'   count       216427 ( 0%) time         1983 (  0.009162) SRA   0,0(0)                 shift_right_single
09:19:10 HHC02292I Inst '13'   count       192551 ( 0%) time         1906 (  0.009899) LCR   0,0                    load_complement_register
09:19:10 HHC02292I Inst '5A'   count       168079 ( 0%) time         1379 (  0.008204) A     0,0(0,0)               add
09:19:10 HHC02292I Inst 'BA'   count       150038 ( 0%) time         1604 (  0.010691) CS    0,0,0(0)               compare_and_swap
09:19:10 HHC02292I Inst '4B'   count       142656 ( 0%) time         1307 (  0.009162) SH    0,0(0,0)               subtract_halfword
09:19:10 HHC02292I Inst 'DD'   count       139006 ( 0%) time         1781 (  0.012812) TRT   0(1,0),0(0)            translate_and_test
09:19:10 HHC02292I Inst 'BE'   count       136494 ( 0%) time         1202 (  0.008806) STCM  0,0,0(0)               store_characters_under_mask
09:19:10 HHC02292I Inst '93'   count       128746 ( 0%) time         1280 (  0.009942) TS    0(0)                   test_and_set
09:19:10 HHC02292I Inst 'B1'   count       121617 ( 0%) time         1052 (  0.008650) LRA   0,0(0,0)               load_real_address
09:19:10 HHC02292I Inst '14'   count       112799 ( 0%) time         1204 (  0.010674) NR    0,0                    and_register
09:19:10 HHC02292I Inst '5B'   count       110995 ( 0%) time          997 (  0.008982) S     0,0(0,0)               subtract
09:19:10 HHC02292I Inst '5F'   count       108909 ( 0%) time         1088 (  0.009990) SL    0,0(0,0)               subtract_logical
09:19:10 HHC02292I Inst '56'   count       101727 ( 0%) time         1061 (  0.010430) O     0,0(0,0)               or
09:19:10 HHC02292I Inst 'BD'   count       101316 ( 0%) time         1017 (  0.010038) CLM   0,0,0(0)               compare_logical_characters_under_mask
09:19:10 HHC02292I Inst 'B20A' count        95928 ( 0%) time          807 (  0.008413) SPKA  0(0)                   set_psw_key_from_address
09:19:10 HHC02292I Inst 'F3'   count        88448 ( 0%) time         1522 (  0.017208) UNPK  0(1,0),0(1,0)          unpack
09:19:10 HHC02292I Inst 'D6'   count        86253 ( 0%) time          850 (  0.009855) OC    0(1,0),0(0)            or_character
09:19:10 HHC02292I Inst 'AC'   count        75032 ( 0%) time          329 (  0.004385) STNSM 0(0),0                 store_then_and_system_mask
09:19:10 HHC02292I Inst 'D4'   count        74921 ( 0%) time         1508 (  0.020128) NC    0(1,0),0(0)            and_character
09:19:10 HHC02292I Inst 'DC'   count        73640 ( 0%) time          702 (  0.009533) TR    0(1,0),0(0)            translate
09:19:10 HHC02292I Inst 'BB'   count        67609 ( 0%) time          625 (  0.009244) CDS   0,0,0(0)               compare_double_and_swap
09:19:10 HHC02292I Inst '86'   count        66083 ( 0%) time          593 (  0.008974) BXH   0,0,0(0)               branch_on_index_high
